#Jokioinen	Jokioisten	observatorio/Finland	(ID	1201/WMO	02963)	lat=60.81	lon=23.5	alt=104
w_date	tmax	tmin	rain	srad	wind	dewp_tx	vprsid_tx	rhumd_tx	dewp_tn	vprsd_tn	rhum_tn
19800101	-4.30	-6.50	1.70	0.33	1.30	-3.80	4.60	92.00	-5.70	4.00	96.00
19800102	-6.10	-8.30	2.00	0.52	3.20	-6.50	3.80	87.00	-7.60	3.40	97.00
19800103	-7.10	-8.80	2.30	0.46	3.80	-7.80	3.40	86.00	-9.10	3.10	90.00
19800104	-7.50	-10.40	0.00	0.43	0.60	-7.50	3.50	91.00	-10.30	2.80	95.00
19800105	-9.40	-16.00	0.20	0.59	1.30	-10.20	2.80	87.00	-16.90	1.60	93.00
19800106	-5.10	-13.60	0.60	0.46	2.60	-4.80	4.30	91.00	-13.70	2.10	97.00
19800107	-4.20	-6.30	2.70	0.46	1.90	-3.60	4.70	92.00	-5.20	4.20	98.00
19800108	-4.80	-8.30	0.40	0.56	1.90	-4.90	4.20	88.00	-7.90	3.40	95.00
19800109	-7.10	-8.40	0.80	0.33	1.30	-6.90	3.60	92.00	-8.30	3.30	93.00
19800110	-7.10	-17.60	0.10	0.91	1.30	-7.90	3.40	85.00	-18.80	1.40	92.00
19800111	-5.10	-13.00	0.10	0.52	1.30	-6.00	3.90	83.00	-13.10	2.20	96.00
19800112	-5.20	-7.90	0.00	0.40	1.90	-6.10	3.90	83.00	-7.70	3.40	93.00
19800113	-3.50	-7.70	0.00	0.71	2.60	-3.30	4.80	89.00	-6.90	3.60	97.00
19800114	-1.00	-3.60	0.00	0.53	3.20	-1.60	5.40	82.00	-3.00	4.90	92.00
19800115	-1.30	-9.40	0.10	0.76	2.60	-2.30	5.20	80.00	-9.30	3.00	94.00
19800116	-9.10	-18.70	0.60	1.53	1.90	-12.30	2.40	72.00	-19.80	1.30	94.00
19800117	-4.00	-22.70	0.00	0.62	2.60	-4.50	4.40	85.00	-24.30	0.90	95.00
19800118	-1.90	-6.10	0.00	1.50	2.60	-3.40	4.70	77.00	-5.50	4.10	94.00
19800119	-5.70	-17.70	0.00	1.90	0.60	-6.20	3.80	86.00	-18.50	1.40	96.00
19800120	-6.00	-18.50	0.00	1.33	1.30	-6.10	3.90	89.00	-19.20	1.30	97.00
